"codigo_centro_poblado","nombre_municipio","longitud","latitud"
5674000,"SAN VICENTE FERRER",-75.3326138129,6.28215585171
5679000,"SANTA BARBARA",-75.5673517822,5.87553339785
5686000,"SANTA ROSA DE OSOS",-75.4607450191,6.64332600099
5690000,"SANTO DOMINGO",-75.1677837076,6.47484329288
5697000,"EL SANTUARIO",-75.2658497944,6.13704685813
5736000,"SEGOVIA",-74.7015910715,7.07963967923
5756000,"SONSON",-75.3093951469,5.71481164114
5761000,"SOPETRAN",-75.7472563632,6.50098577268
5789000,"TAMESIS",-75.7143206871,5.66446663613
5790000,"TARAZA",-75.4014059617,7.58012081462
5792000,"TARSO",-75.8232144828,5.8632957508
5809000,"TITIRIBI",-75.7915490064,6.06098008157
5819000,"TOLEDO",-75.6914424126,7.01015402899
5837000,"TURBO",-76.7291584376,8.08911641099
5842000,"URAMITA",-76.1734091601,6.89849411111
5847000,"URRAO",-76.133948666,6.31731959103
5854000,"VALDIVIA",-75.4391984392,7.16533999984
5856000,"VALPARAISO",-75.624458885,5.61455072464
5858000,"VEGACHI",-74.7987269491,6.77344631959
5861000,"VENECIA",-75.7355032394,5.96473358309
5873000,"VIGIA DEL FUERTE",-76.8961869797,6.58811984466
5885000,"YALI",-74.8400467259,6.67656727216
5887000,"YARUMAL",-75.4188331376,6.96387235163
5890000,"YOLOMBO",-75.0133505772,6.59459243359
5893000,"YONDO",-73.9124579456,7.00394073438
5895000,"ZARAGOZA",-74.8670747123,7.48858307465
8001000,"BARRANQUILLA",-74.7952590482,10.9759268186
8078000,"BARANOA",-74.9160998139,10.7948804772
8137000,"CAMPO DE LA CRUZ",-74.8831517334,10.3792401344
8141000,"CANDELARIA",-74.879912602,10.4612172348
8296000,"GALAPA",-74.8669380999,10.9196410045
8372000,"JUAN DE ACOSTA",-75.0407991406,10.8301822336
8421000,"LURUACO",-75.1422461432,10.6111164196
8433000,"MALAMBO",-74.7742405717,10.8562872414
8436000,"MANATI",-74.9570349911,10.4489623783
8520000,"PALMAR DE VARELA",-74.7547578946,10.7385832606
8549000,"PIOJO",-75.1074701179,10.7493444169
8558000,"POLONUEVO",-74.8542572499,10.7777245089
8560000,"PONEDERA",-74.7539004396,10.6417959278
8573000,"PUERTO COLOMBIA",-74.851963565,11.0229400539
8606000,"REPELON",-75.1254816202,10.4933416667
8634000,"SABANAGRANDE",-74.758507205,10.7910759492
8638000,"SABANALARGA",-74.9210936808,10.6328352305
8675000,"SANTA LUCIA",-74.9589714527,10.3232732128
8685000,"SANTO TOMAS",-74.7541118585,10.756056293
8758000,"SOLEDAD",-74.784833384,10.9101744673
8770000,"SUAN",-74.8816874806,10.335431376
8832000,"TUBARA",-74.9786794721,10.873647738
8849000,"USIACURI",-74.9769826088,10.7429781944
11001000,"BOGOTA, D.C.",-74.1073590032,4.65017303026
13001000,"CARTAGENA DE INDIAS",-75.496431028,10.3849855226
13006000,"ACHI",-74.5570639545,8.56911039303
13030000,"ALTOS DEL ROSARIO",-74.1650494459,8.79160639942
13042000,"ARENAL",-73.9411158255,8.45863043784
13052000,"ARJONA",-75.3444884486,10.2566315237
13062000,"ARROYOHONDO",-75.0171926779,10.2427984821
13074000,"BARRANCO DE LOBA",-74.1052242834,8.94773015812
13140000,"CALAMAR",-74.9136292818,10.2519633588
13160000,"CANTAGALLO",-73.9146502355,7.37831560048
13188000,"CICUCO",-74.6454941915,9.27474559753
13212000,"CORDOBA",-74.8274626321,9.58690791767
13222000,"CLEMENCIA",-75.3285120131,10.567541769
13244000,"EL CARMEN DE BOLIVAR",-75.1212157328,9.71857986447
13248000,"EL GUAMO",-74.976113566,10.0309129767
13268000,"EL PENON",-73.9494155005,8.98821947575
13300000,"HATILLO DE LOBA",-74.0783647121,8.95561489131
13430000,"MAGANGUE",-74.7701745713,9.26856379448
13433000,"MAHATES",-75.1913365877,10.2332545168
13440000,"MARGARITA",-74.2808217575,9.15555047248
13442000,"MARIA LA BAJA",-75.3007593485,9.98264551708
13458000,"MONTECRISTO",-74.471703852,8.29713627502
13468000,"SANTA CRUZ DE MOMPOX",-74.4278664177,9.24388375713
13473000,"MORALES",-73.8681404847,8.27630677134
13490000,"NOROSI",-74.0380591313,8.52598078728
13549000,"PINILLOS",-74.4624035436,8.91545223353
13580000,"REGIDOR",-73.8216380238,8.66625772801
13600000,"RIO VIEJO",-73.8399454858,8.58762771185
13620000,"SAN CRISTOBAL",-75.0655341715,10.3928557722
13647000,"SAN ESTANISLAO",-75.153257919,10.3984757022
13650000,"SAN FERNANDO",-74.3238666453,9.21417906541
13654000,"SAN JACINTO",-75.1210888007,9.83021907275
13655000,"SAN JACINTO DEL CAUCA",-74.720826427,8.25173932101
13657000,"SAN JUAN NEPOMUCENO",-75.0813529279,9.95345438771
13667000,"SAN MARTIN DE LOBA",-74.0390117481,8.93709081139
13670000,"SAN PABLO",-73.924168553,7.47672067152
13673000,"SANTA CATALINA",-75.2877641062,10.6050560511
13683000,"SANTA ROSA",-75.369831664,10.4443960805
13688000,"SANTA ROSA DEL SUR",-74.0528400072,7.96285483059
13744000,"SIMITI",-73.9473119566,7.95417637554
13760000,"SOPLAVIENTO",-75.136425507,10.3884574255
13780000,"TALAIGUA NUEVO",-74.5676280613,9.30488932928
13810000,"TIQUISIO",-74.2635468827,8.55774111696
13836000,"TURBACO",-75.4244091655,10.3327691633
13838000,"TURBANA",-75.4425024683,10.2744020509
13873000,"VILLANUEVA",-75.2747543876,10.4444983316
13894000,"ZAMBRANO",-74.8138396019,9.74691390036
15001000,"TUNJA",-73.3554887287,5.53995323795
15022000,"ALMEIDA",-73.3789331048,4.97085650862
